iter	Passed	Remaining
0	140	140162
1	141	70439
2	142	47193
3	142	35536
4	143	28652
5	144	24020
6	145	20692
7	146	18182
8	147	16238
9	148	14717
10	149	13473
11	150	12425
12	151	11527
13	152	10773
14	153	10106
15	155	9537
16	157	9110
17	158	8644
18	159	8229
19	160	7856
20	161	7513
21	161	7197
22	163	6936
23	164	6695
24	165	6467
25	166	6244
26	167	6036
27	168	5842
28	169	5660
29	170	5511
30	171	5365
31	172	5222
32	173	5090
33	174	4960
34	175	4837
35	176	4719
36	177	4624
37	178	4528
38	179	4428
39	180	4334
40	181	4244
41	182	4160
42	183	4078
43	184	4007
44	185	3940
45	186	3872
46	187	3804
47	188	3736
48	189	3675
49	190	3614
50	191	3563
51	192	3509
52	193	3458
53	194	3406
54	195	3357
55	196	3307
56	196	3259
57	197	3212
58	198	3173
59	200	3133
60	201	3101
61	202	3061
62	203	3020
63	203	2981
64	204	2945
65	205	2914
66	207	2883
67	208	2851
68	208	2818
69	209	2786
70	210	2754
71	211	2723
72	211	2691
73	212	2661
74	213	2638
75	215	2616
76	216	2591
77	217	2566
78	217	2541
79	218	2516
80	219	2491
81	220	2466
82	221	2443
83	222	2424
84	223	2404
85	224	2382
86	224	2360
87	225	2339
88	226	2319
89	227	2300
90	228	2286
91	229	2268
92	230	2251
93	231	2232
94	232	2214
95	233	2197
96	234	2180
97	235	2163
98	236	2150
99	237	2135
100	238	2121
101	239	2104
102	239	2089
103	240	2073
104	241	2057
105	242	2043
106	243	2029
107	245	2023
108	246	2012
109	247	1999
110	248	1986
111	248	1972
112	249	1959
113	250	1948
114	252	1940
115	253	1929
116	253	1915
117	254	1903
118	255	1890
119	256	1878
120	256	1866
121	257	1854
122	258	1844
123	259	1835
124	260	1824
125	261	1815
126	262	1804
127	263	1794
128	264	1784
129	265	1775
130	266	1767
131	267	1758
132	268	1748
133	269	1739
134	269	1729
135	270	1719
136	271	1709
137	272	1700
138	273	1695
139	274	1687
140	275	1678
141	276	1668
142	276	1659
143	277	1650
144	278	1641
